geoname_id,name,ascii_name,feature_class,feature_code,population,admin1_code,admin2_code,latitude,longitude
3103096,Bogatynia,Bogatynia,P,PPL,17436,72,0225,50.90747,14.95634
3103154,Bobrowniki,Bobrowniki,P,PPLA3,2926,83,2401,50.37985,18.98661
3103588,Białe Błota,Biale Blota,P,PPL,5989,73,0403,53.09516,17.91621
3103782,Barwałd Górny,Barwald Gorny,P,PPLX,1200,77,1218,49.86211,19.61746
6545347,Praga Północ,Praga Polnoc,P,PPL,93192,78,1465,52.25443,21.03472
7534274,Sztutowo,Sztutowo,P,PPLA3,2988,82,2210,54.32679,19.17921
12047615,Leśnica-Ratyń-Pustki,Lesnica-Ratyn-Pustki,P,PPLX,8724,72,0264,51.14228,16.84773
12047648,Partynice,Partynice,P,PPLX,1991,72,0264,51.06798,17.01394
12047656,Psie Pole Południe-Kiełczów,Psie Pole Poludnie-Kielczow,P,PPLX,5263,72,0264,51.14783,17.12744
12047662,Powstańców Śląskich Wschód,Powstancow Slaskich Wschod,P,PPLX,11456,72,0264,51.09164,17.0247
752963,Żyrzyn,Zyrzyn,P,PPLA3,1400,75,0614,51.49918,22.0917
755754,Wietrzychowice,Wietrzychowice,P,PPLA3,658,77,1216,50.19097,20.76502
755883,Wielka Wieś,Wielka Wies,P,PPL,1425,84,2611,51.07107,20.96655
756046,Węgrów,Wegrow,P,PPLA2,12512,78,1433,52.39954,22.01634
756227,Waksmund,Waksmund,P,PPL,2340,77,1211,49.48207,20.07563
757071,Tarczyn,Tarczyn,P,PPLA3,3904,78,1418,51.98197,20.83394
758071,Stromiec,Stromiec,P,PPLA3,909,78,1401,51.647,21.09229
758697,Sobolew,Sobolew,P,PPLA3,2200,78,1403,51.7366,21.66349
759092,Skołyszyn,Skolyszyn,P,PPLA3,1455,80,1805,49.74955,21.33665
759266,Sieradza,Sieradza,P,PPL,1143,77,1216,50.13499,20.92947
759275,Sienno,Sienno,P,PPLA3,750,78,1409,51.08773,21.48325
